customer_id,gender,age,married,number_of_dependents,number_of_referrals,tenure_in_months,offer,zip_code,customer_status
0021-IKXGC,Female,72,false,0,0,1,Offer E,92078,Joined
0023-HGHWL,Male,67,false,0,0,1,None,95037,Churned
0082-LDZUE,Male,54,false,0,0,1,Offer E,94515,Joined
0107-WESLM,Male,32,false,0,0,1,Offer E,95255,Churned
0107-YHINA,Male,59,false,0,0,1,None,90062,Churned
0137-OCGAB,Female,25,false,0,0,1,Offer E,94533,Churned
0151-ONTOV,Female,43,false,0,0,1,Offer E,93021,Churned
0231-LXVAP,Male,23,false,0,0,1,None,92592,Churned
0235-KGSLC,Female,45,false,0,0,1,Offer E,93427,Churned
0248-IPDFW,Female,19,false,0,0,1,None,92530,Joined
0295-PPHDO,Male,56,false,0,0,1,None,91744,Churned
0322-YINQP,Male,37,false,0,0,1,None,91723,Churned
0328-GRPMV,Female,43,false,0,0,1,None,95527,Churned
0374-AACSZ,Female,63,false,0,0,1,Offer E,93534,Joined
0375-HVGXO,Female,31,false,0,0,1,Offer E,90045,Churned
0415-MOSGF,Female,58,false,0,0,1,Offer E,95030,Churned
0426-TIRNE,Female,54,false,0,0,1,Offer E,91316,Churned
0488-GSLFR,Female,41,false,0,0,1,None,95983,Churned
0495-RVCBF,Female,39,false,0,0,1,None,95401,Churned
0511-JTEOY,Female,41,false,0,0,1,Offer E,95923,Churned
0515-YPMCW,Male,42,false,0,0,1,None,95116,Churned
0519-XUZJU,Female,56,false,0,0,1,None,95018,Churned
0612-RTZZA,Female,77,false,0,0,1,Offer E,92084,Churned
0623-GDISB,Female,63,false,0,0,1,None,92673,Joined
0661-XEYAN,Female,76,false,0,0,1,None,95959,Churned
0670-KDOMA,Female,42,false,0,0,1,Offer E,93610,Joined
0673-IGUQO,Male,26,false,0,0,1,None,92371,Joined
0674-EYYZV,Female,41,false,0,0,1,None,90065,Joined
0742-NXBGR,Female,64,false,0,0,1,Offer E,96006,Churned
0761-AETCS,Female,58,false,0,0,1,Offer E,92324,Churned
0817-HSUSE,Male,26,false,0,0,1,None,91001,Joined
0841-NULXI,Male,38,false,0,0,1,None,95209,Churned
0887-HJGAR,Male,57,false,0,0,1,Offer E,93210,Churned
0927-CNGRH,Male,42,false,3,0,1,None,95701,Joined
0968-GSIKN,Female,23,false,0,0,1,Offer E,92276,Churned
0970-ETWGE,Male,38,false,0,0,1,Offer E,93205,Churned
0970-QXPXW,Female,28,false,0,0,1,None,91016,Joined
1000-AJSLD,Male,25,false,0,0,1,None,92121,Churned
1015-OWJKI,Male,46,false,0,0,1,None,90260,Joined
1029-QFBEN,Male,27,false,0,0,1,None,92129,Churned
1031-IIDEO,Female,51,false,0,0,1,Offer E,96125,Churned
1062-LHZOD,Male,49,true,0,0,1,None,92121,Churned
1066-JKSGK,Male,29,false,0,0,1,None,90024,Churned
1069-XAIEM,Female,68,false,0,0,1,None,95460,Churned
1084-UQCHV,Male,35,false,0,0,1,Offer E,92305,Churned
1098-TDVUQ,Female,34,false,0,0,1,Offer E,91977,Joined
1135-LMECX,Female,47,false,0,0,1,None,92551,Joined
1156-ZFYDO,Female,57,false,0,0,1,None,91201,Joined
1157-BQCUW,Male,59,false,0,0,1,Offer E,96028,Churned
1194-SPVSP,Male,20,false,0,0,1,None,95073,Joined
1240-KNSEZ,Male,63,false,0,0,1,Offer E,92127,Churned
1285-OKIPP,Male,62,false,3,0,1,None,91345,Churned
1334-FJSVR,Male,64,false,0,0,1,Offer E,93262,Churned
1349-WXNGG,Male,57,false,0,0,1,None,91207,Churned
1363-TXLSL,Male,80,true,0,0,1,Offer E,93954,Churned
1393-IMKZG,Female,50,false,0,0,1,None,92831,Joined
1406-PUQVY,Male,29,false,1,0,1,Offer E,95653,Joined
1415-YFWLT,Female,68,false,0,0,1,Offer E,93664,Churned
1452-VOQCH,Male,61,false,0,0,1,None,92347,Joined
1453-RZFON,Female,39,false,3,0,1,Offer E,93608,Joined
1455-ESIQH,Male,44,false,0,0,1,None,94619,Churned
1471-GIQKQ,Female,37,false,0,0,1,None,92257,Joined
1478-VPOAD,Female,39,false,0,0,1,Offer E,96124,Joined
1493-AMTIE,Male,28,false,0,0,1,Offer E,93235,Churned
1496-GGSUK,Female,68,false,0,0,1,None,95439,Churned
1536-HBSWP,Female,33,false,0,0,1,None,93270,Joined
1541-ETJZO,Male,58,false,0,0,1,Offer E,95692,Churned
1582-RAFML,Male,26,false,0,0,1,Offer E,95821,Churned
1612-EOHDH,Female,29,false,0,0,1,Offer E,91331,Churned
1622-HSHSF,Female,44,false,0,0,1,None,95917,Joined
1628-BIZYP,Male,60,false,0,0,1,None,94513,Joined
1640-PLFMP,Female,20,false,0,0,1,None,90026,Joined
1660-HSOOQ,Male,60,false,0,0,1,None,93105,Churned
1663-MHLHE,Male,33,false,0,0,1,None,91010,Joined
1724-IQWNM,Male,37,false,1,0,1,Offer E,91504,Joined
1725-MIMXW,Male,42,false,0,0,1,Offer E,95545,Churned
1740-CSDJP,Male,53,false,0,0,1,None,93644,Churned
1761-AEZZR,Male,59,false,0,0,1,None,95637,Churned
1768-ZAIFU,Female,74,false,0,0,1,None,95562,Churned
1794-HBQTJ,Female,22,false,0,0,1,Offer E,93212,Churned
1816-FLZDK,Male,34,false,0,0,1,None,92333,Joined
1820-TQVEV,Male,27,false,0,0,1,Offer E,93638,Churned
1833-VGRUM,Female,70,false,0,0,1,Offer E,92570,Churned
1845-ZLLIG,Male,45,false,0,0,1,Offer E,95258,Joined
1846-XWOQN,Female,80,false,0,0,1,None,93426,Churned
1895-QTKDO,Female,38,false,0,0,1,None,92583,Joined
1905-OEILC,Female,42,false,0,0,1,Offer E,93953,Joined
1915-IOFGU,Female,53,false,0,0,1,None,93531,Churned
1928-BXYIV,Male,47,false,0,0,1,Offer E,95667,Joined
1934-SJVJK,Male,35,false,0,0,1,Offer E,95567,Churned
1942-OQFRW,Male,62,false,0,0,1,Offer E,94933,Joined
1963-SVUCV,Male,59,false,0,0,1,None,96029,Churned
1963-VAUKV,Female,31,false,0,0,1,Offer E,95720,Churned
1977-STDKI,Female,72,false,0,0,1,None,95497,Churned
2002-MZHWP,Female,24,false,0,0,1,Offer E,95315,Churned
2004-OCQXK,Female,44,false,0,0,1,Offer E,95348,Churned
2013-SGDXK,Female,27,false,0,0,1,None,95338,Churned
2024-BASKD,Female,23,false,0,0,1,Offer E,93221,Churned
2049-BAFNW,Female,60,false,0,0,1,Offer E,94592,Joined
2080-SRCDE,Female,21,false,1,0,1,Offer E,91789,Joined
2081-KJSQF,Male,25,false,0,0,1,None,95641,Joined
2082-CEFLT,Male,31,false,0,0,1,Offer E,92109,Churned
2103-ZRXFN,Male,19,false,0,0,1,None,92253,Joined
2111-DWYHN,Male,31,false,0,0,1,None,95003,Joined
2135-RXIHG,Male,63,false,0,0,1,Offer E,90745,Churned
2202-CUYXZ,Male,25,false,0,0,1,None,94568,Churned
2207-NHRJK,Male,58,false,0,0,1,Offer E,93923,Churned
2209-XADXF,Female,40,false,0,0,1,Offer E,95573,Joined
2220-IAHLS,Female,49,false,0,0,1,None,95356,Joined
2232-DMLXU,Female,22,true,0,0,1,None,91411,Churned
2254-DLXRI,Female,33,false,0,0,1,Offer E,91504,Joined
2262-SLNVK,Female,53,false,0,0,1,None,94512,Joined
2273-QCKXA,Male,39,false,0,0,1,None,90232,Joined
2275-RBYQS,Female,38,false,0,0,1,Offer E,92587,Joined
2369-FEVNO,Male,36,false,0,0,1,None,90806,Joined
2386-LAHRK,Male,22,false,0,0,1,None,95736,Churned
