customer_id,customer_status,churn_category,churn_reason
0032-PGELS,Churned,Attitude,Attitude of service provider
0115-TFERT,Churned,Attitude,Attitude of service provider
0125-LZQXK,Churned,Attitude,Attitude of service provider
0156-FVPTA,Churned,Attitude,Attitude of service provider
0330-IVZHA,Churned,Attitude,Attitude of service provider
0362-ZBZWJ,Churned,Attitude,Attitude of service provider
0363-QJVFX,Churned,Attitude,Attitude of service provider
0601-WZHJF,Churned,Attitude,Attitude of service provider
0637-YLETY,Churned,Attitude,Attitude of service provider
0886-QGENL,Churned,Attitude,Attitude of service provider
0925-VYDLG,Churned,Attitude,Attitude of service provider
1143-NMNQJ,Churned,Attitude,Attitude of service provider
1265-XTECC,Churned,Attitude,Attitude of service provider
1320-HTRDR,Churned,Attitude,Attitude of service provider
1400-MMYXY,Churned,Attitude,Attitude of service provider
1496-GGSUK,Churned,Attitude,Attitude of service provider
1984-FCOWB,Churned,Attitude,Attitude of service provider
2187-LZGPL,Churned,Attitude,Attitude of service provider
2207-OBZNX,Churned,Attitude,Attitude of service provider
2237-ZFSMY,Churned,Attitude,Attitude of service provider
2320-JRSDE,Churned,Attitude,Attitude of service provider
2495-INZWQ,Churned,Attitude,Attitude of service provider
2514-GINMM,Churned,Attitude,Attitude of service provider
2575-GFSOE,Churned,Attitude,Attitude of service provider
2642-DTVCO,Churned,Attitude,Attitude of service provider
2842-JTCCU,Churned,Attitude,Attitude of service provider
2898-LSJGD,Churned,Attitude,Attitude of service provider
2956-GGUCQ,Churned,Attitude,Attitude of service provider
3009-JWMPU,Churned,Attitude,Attitude of service provider
3023-GFLBR,Churned,Attitude,Attitude of service provider
3085-QUOZK,Churned,Attitude,Attitude of service provider
3138-BKYAV,Churned,Attitude,Attitude of service provider
3186-BAXNB,Churned,Attitude,Attitude of service provider
3387-VATUS,Churned,Attitude,Attitude of service provider
3806-DXQOM,Churned,Attitude,Attitude of service provider
3988-RQIXO,Churned,Attitude,Attitude of service provider
4021-RQSNY,Churned,Attitude,Attitude of service provider
4086-YQSNZ,Churned,Attitude,Attitude of service provider
4139-SUGLD,Churned,Attitude,Attitude of service provider
4140-MUHUG,Churned,Attitude,Attitude of service provider
4143-OOBWZ,Churned,Attitude,Attitude of service provider
4307-KTUMW,Churned,Attitude,Attitude of service provider
4349-GFQHK,Churned,Attitude,Attitude of service provider
4361-JEIVL,Churned,Attitude,Attitude of service provider
4369-HTUIF,Churned,Attitude,Attitude of service provider
4471-KXAUH,Churned,Attitude,Attitude of service provider
4501-EQDRN,Churned,Attitude,Attitude of service provider
4529-CKBCL,Churned,Attitude,Attitude of service provider
4548-SDBKE,Churned,Attitude,Attitude of service provider
4612-THJBS,Churned,Attitude,Attitude of service provider
4701-AHWMW,Churned,Attitude,Attitude of service provider
4797-AXPXK,Churned,Attitude,Attitude of service provider
4800-CZMPC,Churned,Attitude,Attitude of service provider
4853-RULSV,Churned,Attitude,Attitude of service provider
4871-JTKJF,Churned,Attitude,Attitude of service provider
4877-EVATK,Churned,Attitude,Attitude of service provider
5229-PRWKT,Churned,Attitude,Attitude of service provider
5440-FLBQG,Churned,Attitude,Attitude of service provider
5442-UTCVD,Churned,Attitude,Attitude of service provider
5510-BOIUJ,Churned,Attitude,Attitude of service provider
5868-CZJDR,Churned,Attitude,Attitude of service provider
5876-HZVZM,Churned,Attitude,Attitude of service provider
5906-CVLHP,Churned,Attitude,Attitude of service provider
5931-FLJJF,Churned,Attitude,Attitude of service provider
6108-OQZDQ,Churned,Attitude,Attitude of service provider
6204-IEUXJ,Churned,Attitude,Attitude of service provider
6275-YDUVO,Churned,Attitude,Attitude of service provider
6305-YLBMM,Churned,Attitude,Attitude of service provider
6326-MTTXK,Churned,Attitude,Attitude of service provider
6372-RFVNS,Churned,Attitude,Attitude of service provider
6457-GIRWB,Churned,Attitude,Attitude of service provider
6502-HCJTI,Churned,Attitude,Attitude of service provider
6595-COKXZ,Churned,Attitude,Attitude of service provider
6615-ZGEDR,Churned,Attitude,Attitude of service provider
6664-FPDAC,Churned,Attitude,Attitude of service provider
6857-VWJDT,Churned,Attitude,Attitude of service provider
6899-PPEEA,Churned,Attitude,Attitude of service provider
6927-WTFIV,Churned,Attitude,Attitude of service provider
7136-RVDTZ,Churned,Attitude,Attitude of service provider
7180-PISOG,Churned,Attitude,Attitude of service provider
7181-BQYBV,Churned,Attitude,Attitude of service provider
7216-EWTRS,Churned,Attitude,Attitude of service provider
7547-EKNFS,Churned,Attitude,Attitude of service provider
7632-MNYOY,Churned,Attitude,Attitude of service provider
7893-IXHRQ,Churned,Attitude,Attitude of service provider
7938-OUHIO,Churned,Attitude,Attitude of service provider
8051-HJRLT,Churned,Attitude,Attitude of service provider
8066-POXGX,Churned,Attitude,Attitude of service provider
8182-BJDSI,Churned,Attitude,Attitude of service provider
8267-ZNYVZ,Churned,Attitude,Attitude of service provider
8337-MSSXB,Churned,Attitude,Attitude of service provider
8473-VUVJN,Churned,Attitude,Attitude of service provider
8519-QJGJD,Churned,Attitude,Attitude of service provider
8699-ASUFO,Churned,Attitude,Attitude of service provider
0107-WESLM,Churned,Attitude,Attitude of support person
0135-NMXAP,Churned,Attitude,Attitude of support person
0193-ESZXP,Churned,Attitude,Attitude of support person
0257-ZESQC,Churned,Attitude,Attitude of support person
0265-EDXBD,Churned,Attitude,Attitude of support person
0268-QKIWO,Churned,Attitude,Attitude of support person
0278-YXOOG,Churned,Attitude,Attitude of support person
0322-YINQP,Churned,Attitude,Attitude of support person
0388-EOPEX,Churned,Attitude,Attitude of support person
0415-MOSGF,Churned,Attitude,Attitude of support person
0420-BWTPW,Churned,Attitude,Attitude of support person
0461-CVKMU,Churned,Attitude,Attitude of support person
0516-VRYBW,Churned,Attitude,Attitude of support person
0529-ONKER,Churned,Attitude,Attitude of support person
0621-TWIEM,Churned,Attitude,Attitude of support person
0654-HMSHN,Churned,Attitude,Attitude of support person
0689-NKYLF,Churned,Attitude,Attitude of support person
0761-AETCS,Churned,Attitude,Attitude of support person
0866-QLSIR,Churned,Attitude,Attitude of support person
0875-CABNR,Churned,Attitude,Attitude of support person
0923-PNFUB,Churned,Attitude,Attitude of support person
0963-ZBDRN,Churned,Attitude,Attitude of support person
1009-IRMNA,Churned,Attitude,Attitude of support person
1038-ZAGBI,Churned,Attitude,Attitude of support person
1041-RXHRA,Churned,Attitude,Attitude of support person
1075-BGWOH,Churned,Attitude,Attitude of support person
1084-UQCHV,Churned,Attitude,Attitude of support person
