customer_id,contract,paperless_billing,payment_method,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue
0623-IIHUG,Month-to-Month,TRUE,Bank Withdrawal,0,840.1,0,0,0,840.1
1353-LJWEM,Month-to-Month,TRUE,Bank Withdrawal,0,688.5,49.24,0,316.36,955.62
2077-MPJQO,Month-to-Month,TRUE,Bank Withdrawal,0,533.05,0,0,149.59,682.64
6859-RKMZJ,Month-to-Month,TRUE,Bank Withdrawal,0,608.15,0,0,486.2,1094.35
7551-JOHTI,Month-to-Month,FALSE,Credit Card,0,19.5,0,0,32.45,51.95
9294-TDIPC,Month-to-Month,FALSE,Credit Card,0,83.75,0,0,61.1,144.85
1036-GUDCL,Month-to-Month,TRUE,Credit Card,0,4663.4,0,0,2385.6,7049
5047-LHVLY,Month-to-Month,TRUE,Mailed Check,0,50.15,0,0,39.78,89.93
7825-GKXMW,Month-to-Month,FALSE,Bank Withdrawal,0,45.8,0,10,22.11,77.91
9971-ZWPBF,Month-to-Month,TRUE,Bank Withdrawal,0,3625.2,0,30,399.16,4054.36
2692-PFYTJ,Month-to-Month,TRUE,Credit Card,0,25.75,0,0,15.22,40.97
2831-EBWRN,Month-to-Month,TRUE,Bank Withdrawal,0,199.75,0,0,135.72,335.47
3234-VKACU,Month-to-Month,FALSE,Bank Withdrawal,0,132.4,0,0,47.04,179.44
5766-ZJYBB,Month-to-Month,FALSE,Mailed Check,0,19.4,0,0,3.14,22.54
8815-LMFLX,Month-to-Month,TRUE,Bank Withdrawal,0,546.85,0,0,489,1035.85
8818-XYFCQ,Month-to-Month,TRUE,Credit Card,0,3204.65,35.82,110,1074.24,4353.07
1024-VRZHF,Month-to-Month,TRUE,Bank Withdrawal,0,825.7,0,0,237.38,1063.08
1084-UQCHV,Month-to-Month,FALSE,Bank Withdrawal,0,69.75,0,0,27.97,97.72
1960-UYCNN,Month-to-Month,TRUE,Bank Withdrawal,0,1021.55,0,0,264.3,1285.85
2408-PSJVE,Month-to-Month,TRUE,Credit Card,0,2924.05,0,0,1657.92,4581.97
4816-LXZYW,Month-to-Month,TRUE,Bank Withdrawal,0,1676.95,0,0,769.12,2446.07
5215-LNLDJ,Month-to-Month,TRUE,Bank Withdrawal,0,149.05,0,0,0,149.05
6086-ESGRL,Month-to-Month,FALSE,Credit Card,0,80.15,0,0,4.67,84.82
6567-HOOPW,Month-to-Month,TRUE,Bank Withdrawal,0,79.2,0,0,20.06,99.26
7841-TZDMQ,Month-to-Month,TRUE,Credit Card,0,84.5,0,0,99.62,184.12
3955-JBZZM,Month-to-Month,FALSE,Bank Withdrawal,0,1641.3,0,0,907.8,2549.1
4128-ETESU,Month-to-Month,FALSE,Bank Withdrawal,0,4747.2,0,140,140.06,5027.26
4160-AMJTL,Month-to-Month,FALSE,Bank Withdrawal,0,164.3,0,0,223.6,387.9
5696-QURRL,Month-to-Month,TRUE,Credit Card,0,45.05,0,70,13.84,128.89
6275-YDUVO,Month-to-Month,TRUE,Mailed Check,0,178.7,0,0,48.1,226.8
9261-WDCAF,Month-to-Month,FALSE,Mailed Check,0,189.1,0,0,100.59,289.69
0003-MKNFE,Month-to-Month,FALSE,Credit Card,0,542.4,38.33,10,96.21,610.28
1024-GUALD,Month-to-Month,TRUE,Bank Withdrawal,0,24.8,0,0,0,24.8
2038-LLMLM,Month-to-Month,TRUE,Bank Withdrawal,0,4946.05,0,0,504,5450.05
4592-IWTJI,Month-to-Month,FALSE,Credit Card,0,91.7,0,0,0,91.7
4958-GZWIY,Month-to-Month,FALSE,Bank Withdrawal,0,340.25,0,0,35.91,376.16
7299-GNVPL,Month-to-Month,FALSE,Mailed Check,0,1936.85,0,0,626.52,2563.37
7593-XFKDI,Month-to-Month,FALSE,Credit Card,0,46.3,0,0,48.22,94.52
7668-XCFYV,Month-to-Month,TRUE,Bank Withdrawal,0,1614.7,0,0,65.11,1679.81
9334-GWGOW,Month-to-Month,TRUE,Bank Withdrawal,0,485.25,0,0,47.67,532.92
9560-ARGQJ,Month-to-Month,TRUE,Bank Withdrawal,0,1312.15,0,0,206.72,1518.87
0274-JKUJR,Month-to-Month,FALSE,Credit Card,0,465.7,0,0,0,465.7
1399-UBQIU,Month-to-Month,TRUE,Bank Withdrawal,0,712.25,0,0,177.54,889.79
4558-CGYCZ,Month-to-Month,FALSE,Credit Card,0,78.3,0,0,167.76,246.06
6067-NGCEU,Month-to-Month,TRUE,Credit Card,0,7107,0,0,2715.7,9822.7
8066-POXGX,Month-to-Month,TRUE,Bank Withdrawal,0,446.1,0,0,0,446.1
8468-EHYJA,Month-to-Month,TRUE,Bank Withdrawal,0,5497.05,0,0,694.83,6191.88
5028-GZLDO,Month-to-Month,FALSE,Credit Card,0,140.7,0,0,72.12,212.82
7270-BDIOA,Month-to-Month,TRUE,Bank Withdrawal,0,1993.8,0,0,268.18,2261.98
7382-DFJTU,Month-to-Month,FALSE,Credit Card,0,1058.1,0,0,858.96,1917.06
0495-ZBNGW,Month-to-Month,TRUE,Bank Withdrawal,0,343.95,0,20,33.3,397.25
2430-USGXP,Month-to-Month,TRUE,Bank Withdrawal,0,2391.8,0,0,830.88,3222.68
3583-KRKMD,Month-to-Month,TRUE,Bank Withdrawal,0,1373.05,15.57,0,483.12,1840.6
3716-UVSPD,Month-to-Month,TRUE,Bank Withdrawal,0,49.3,0,10,14.97,74.27
3717-OEAUQ,Month-to-Month,FALSE,Credit Card,0,129.2,0,10,5.44,144.64
4585-HETAI,Month-to-Month,TRUE,Bank Withdrawal,0,325.45,0,0,193.92,519.37
8183-ONMXC,Month-to-Month,FALSE,Bank Withdrawal,0,159.45,0,0,10.22,169.67
8922-LIEGH,Month-to-Month,TRUE,Bank Withdrawal,0,2187.55,23.33,0,909,3073.22
9793-WECQC,Month-to-Month,FALSE,Credit Card,0,2192.9,0,0,1108.83,3301.73
9898-KZQDZ,Month-to-Month,TRUE,Credit Card,0,3640.45,0,0,1980,5620.45
9961-JBNMK,Month-to-Month,TRUE,Bank Withdrawal,0,2030.3,10.2,0,887.67,2907.77
9426-SXNHE,Month-to-Month,FALSE,Bank Withdrawal,18.75,53.15,0,0,9.84,62.99
3387-PLKUI,Month-to-Month,FALSE,Credit Card,18.8,251.25,0,0,217.62,468.87
3806-YAZOV,Month-to-Month,FALSE,Credit Card,18.8,56,0,0,19.83,75.83
0620-XEFWH,Month-to-Month,FALSE,Credit Card,18.85,84.2,0,0,156.16,240.36
5863-OOKCL,Month-to-Month,FALSE,Credit Card,18.85,163.2,0,0,410.4,573.6
8992-CEUEN,Month-to-Month,FALSE,Bank Withdrawal,18.85,18.85,0,0,7.8,26.65
9318-NKNFC,Month-to-Month,TRUE,Mailed Check,18.85,18.85,0,0,40.49,59.34
5025-GOOKI,Month-to-Month,TRUE,Credit Card,18.9,347.65,0,0,677.2,1024.85
9975-SKRNR,Month-to-Month,FALSE,Credit Card,18.9,18.9,0,0,49.51,68.41
1386-ZIKUV,Month-to-Month,TRUE,Credit Card,18.95,130.55,0,0,232.26,362.81
7968-QUXNS,Month-to-Month,FALSE,Mailed Check,18.95,110.15,0,0,165.24,275.39
9025-ZRPVR,Month-to-Month,TRUE,Credit Card,18.95,185.6,0,0,447.66,633.26
