customer_id,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_service,internet_type,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_Data
1261-FWTTE,false,,,true,Cable,2,false,false,false,false,false,true,true,true
2908-ZTPNF,false,,,true,Cable,2,false,true,false,true,false,false,false,true
4139-JPIAM,false,,,true,DSL,2,true,false,false,true,false,true,true,true
4195-NZGTA,false,,,true,Cable,2,false,false,false,false,false,false,false,true
4940-KHCWD,false,,,true,Cable,2,true,true,false,true,false,false,false,true
5294-CDGWY,false,,,true,DSL,2,true,true,true,false,true,true,true,true
5378-IKEEG,false,,,true,Cable,2,false,false,false,false,true,false,false,true
5669-SRAIP,false,,,true,DSL,2,false,false,true,false,false,true,true,true
6119-SPUDB,false,,,true,DSL,2,true,false,true,true,false,false,false,true
7421-ZLUPA,false,,,true,DSL,2,false,true,false,false,false,false,false,true
7746-AWNQW,false,,,true,DSL,2,false,false,true,true,false,false,false,true
8847-GEOOQ,false,,,true,DSL,2,false,true,true,true,true,true,true,true
9136-ALYBR,false,,,true,Cable,2,false,false,false,false,false,false,false,true
9626-WEQRM,false,,,true,DSL,2,true,false,false,false,false,false,false,false
1078-TDCRN,false,,,true,DSL,3,false,true,false,false,false,false,false,true
1862-SKORY,false,,,true,Cable,3,false,true,false,false,true,false,false,true
3132-TVFDZ,false,,,true,Cable,3,false,false,false,false,true,true,true,true
3538-WZPHD,false,,,true,Cable,3,false,true,false,false,false,false,false,true
6281-FKEWS,false,,,true,Cable,3,false,false,true,false,true,true,true,true
6810-VCAEX,false,,,true,DSL,3,true,true,false,true,false,false,false,true
0723-VSOBE,false,,,true,Cable,4,false,false,false,false,false,true,false,false
0895-UADGO,false,,,true,Cable,4,true,false,false,true,false,true,true,true
0979-MOZQI,false,,,true,Cable,4,false,false,false,true,true,false,false,true
1329-VHWNP,false,,,true,DSL,4,false,false,false,false,false,false,false,true
2144-ESWKO,false,,,true,Cable,4,true,false,true,false,false,false,false,true
2408-WITXK,false,,,true,DSL,4,false,false,false,false,false,true,false,true
3082-VQXNH,false,,,true,DSL,4,false,true,false,false,false,false,false,true
3806-DXQOM,false,,,true,DSL,4,true,true,false,false,false,false,false,true
